sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
100,64,1e-06,1,5.211844749278851,4.820616200566292,0.1131192404356325,0.24321697849762636
100,64,1e-06,2,4.716021696726481,4.486355919923101,0.1226584752862329,0.26756771851438144
100,64,1e-06,3,4.402214254344906,4.262081923229354,0.13249930187098577,0.28874616029042166
100,64,1e-06,4,4.225410233746778,4.104541599750519,0.14425020943870429,0.3058363585590617
100,64,1e-06,5,4.097974158622123,3.9868433816092357,0.15604579726333426,0.31729684445685563
100,64,1e-06,6,3.9865506167884344,3.8995624908379147,0.1638536721586149,0.32611002513264453
100,64,1e-06,7,3.9062006860165983,3.833198572908129,0.1672046914269757,0.33395141022060876
100,64,1e-06,8,3.880162943590869,3.7798048619713103,0.1709578330075398,0.3439151075118682
100,64,1e-06,9,3.827694607210589,3.7334459913628444,0.17436470259703993,0.3508628874616029
100,64,1e-06,10,3.7497933555293725,3.6947798409632275,0.1748896956157498,0.358972354091036
100,64,1e-06,11,3.6820793108897165,3.6570325600249425,0.1763418039653728,0.36682490924322814
100,64,1e-06,12,3.7056845458778174,3.6253287387745723,0.1783412454621614,0.3714939960904775
100,64,1e-06,13,3.6651383348413415,3.594935587474278,0.18083216978497627,0.37715721865400725
100,64,1e-06,14,3.5219783460771716,3.569885498711041,0.18010611561016476,0.3811449315833566
100,64,1e-06,15,3.5831026601361797,3.5433331664119447,0.18370287629153867,0.38505445406311084
100,64,1e-06,16,3.523427797867371,3.5195879957505634,0.18407148841105836,0.3921027645908964
100,64,1e-06,17,3.469864168682614,3.4970731330769405,0.1873778274225077,0.39452666852834406
100,64,1e-06,18,3.5551691356005968,3.4784391479832784,0.18848366378106673,0.39728567439262774
100,64,1e-06,19,3.5226492795858295,3.457120582461357,0.19142139067299638,0.40061435353253283
100,64,1e-06,20,3.426179791355992,3.4386465592043742,0.19368891371125385,0.4032393186260821
