sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
200,64,5e-05,1,2.4910107407247795,2.037118756945916,0.4334263911772896,0.6697569729784734
200,64,5e-05,2,2.0149312286948478,1.8330050260902726,0.48515662654980946,0.7133713923334146
200,64,5e-05,3,1.858560106668332,1.734129176043824,0.5103567452059424,0.7339781285674634
200,64,5e-05,4,1.7739872868258435,1.6639767127223137,0.5261024185953966,0.7473439787690925
200,64,5e-05,5,1.7102672659000688,1.610964870885507,0.5388103677840422,0.7569993263129969
200,64,5e-05,6,1.6670736923866796,1.577352724500832,0.5494508065391703,0.7647593329272132
200,64,5e-05,7,1.6381604739589217,1.5475819809591478,0.5558651426712803,0.7699695046469867
200,64,5e-05,8,1.5863766272459132,1.5256583171491744,0.563099101038968,0.7748666822028066
200,64,5e-05,9,1.5671043736853534,1.5044294788029666,0.5679973007092566,0.7782958762451058
200,64,5e-05,10,1.5356521508062837,1.4840887943192438,0.5724946043712883,0.7823545792318151
