sequence_length,batch_size,learning_rate,epoch,train_loss,val_loss,val_accuracy,val_topk_accuracy
100,16,1e-06,1,4.882269039098445,4.340496891074711,0.1293605138229545,0.2857972633342642
100,16,1e-06,2,4.16430273486991,3.9458322204925396,0.15859257190728845,0.32173135995531976
100,16,1e-06,3,3.870088097652958,3.768702788485421,0.17015358838313321,0.34679698408265847
100,16,1e-06,4,3.7116869482980177,3.653947545422448,0.17665456576375313,0.3659759843619101
100,16,1e-06,5,3.6338052089290787,3.565983239147398,0.1802736665735828,0.3827869310248534
100,16,1e-06,6,3.593111214762874,3.4924896160761514,0.18623848087126502,0.3946830494275342
100,16,1e-06,7,3.486954995564052,3.431189113193088,0.1937000837754817,0.40455738620497067
100,16,1e-06,8,3.4784404383456393,3.3805844209812306,0.200513822954482,0.41187377827422506
100,16,1e-06,9,3.4224478482504974,3.3374420647267944,0.20359676068137392,0.41916783021502374
100,16,1e-06,10,3.3807717050824846,3.304110488405934,0.20686958950013962,0.42458531136554034
100,16,1e-06,11,3.314544378147181,3.272183923809617,0.21016475844736107,0.4300921530298799
100,16,1e-06,12,3.317124065782864,3.242400100937596,0.21292376431164478,0.4349287908405473
100,16,1e-06,13,3.307655335167754,3.2160057017096766,0.21720189891091873,0.4397765987154426
100,16,1e-06,14,3.278848600109534,3.1940721759089716,0.22171460485897793,0.44416643395699523
100,16,1e-06,15,3.228479716937674,3.176905538196917,0.2246746718793633,0.4472493716838872
100,16,1e-06,16,3.2029648334569902,3.157906448399579,0.22716559620217816,0.4500083775481709
100,16,1e-06,17,3.2096564755842913,3.1399186032789723,0.22985758168109466,0.45337056688075955
100,16,1e-06,18,3.191046739806239,3.1247502499156528,0.2313767104160849,0.45698966769058924
100,16,1e-06,19,3.2070352092776284,3.111076518341347,0.2330857302429489,0.4590784697012008
100,16,1e-06,20,3.1521543810040886,3.0970571879987365,0.23502932141859817,0.46153588383133204
